certainement	   ***   	surely  ; certainly  ; sure  ; for sure  ; for certain  ; sure enough  ; sure as shooting	adverb
cerveau	   ***   	brain  ; encephalon	anatomy
ces	   ***   	these	pronoun
ces	   ***   	those	pronoun
cette	   ***   	this	pronoun
chaise	   ***   	chair	furniture
chambre à coucher	   ***   	bedroom  ; sleeping room  ; sleeping accommodation  ; chamber  ; bedchamber	house
champ	   ***   	field	nature
championnat	   ***   	championship  ; title	sports
chanceux	   ***   	lucky	adjective
changement	   ***   	change  ; alteration  ; modification	abstract
changement climatique	   ***   	climate change  ; global climate change	environment
chanson	   ***   	song  ; vocal	art
chanter	   ***   	sing	verb-basic
chanteur	   ***   	singer  ; vocalist  ; vocalizer  ; vocaliser	art
chapeau	   ***   	hat  ; chapeau  ; lid	clothes
chaque	   ***   	each	adjective
chaque	   ***   	either	adverb
charbon	   ***   	coal	material
charge	   ***   	charge  ; electric charge	physics
charger	   ***   	load  ; charge	verb
chat	   ***   	cat  ; true cat	animal
chaud	   ***   	hot	adjective-basic
chaud	   ***   	warm	adjective
chauffer	   ***   	warm	verb
chaussettes	   ***   	sock	clothes
chaussure	   ***   	shoe	clothes
chaîne	   ***   	chain	object
chef	   ***   	leader	society
chemise	   ***   	shirt	clothes
cheval	   ***   	horse  ; Equus caballus	animal
cheveux	   ***   	hair	anatomy
chien	   ***   	dog  ; domestic dog  ; Canis familiaris	animal
chimie	   ***   	chemistry  ; chemical science	science
chimique	   ***   	chemical  ; chemic	adjective
chinois	   ***   	Chinese	language
choc	   ***   	shock  ; daze  ; stupor	feeling
chocolat	   ***   	chocolate	food
choisir	   ***   	choose  ; take  ; select  ; pick out	verb
choix	   ***   	choice  ; selection  ; option  ; pick	abstract
chose	   ***   	thing	abstract
chou	   ***   	cabbage  ; chou	vegetable
chute	   ***   	fall  ; spill  ; tumble	abstract
château	   ***   	castle	city
chèque	   ***   	check  ; bank check  ; cheque	business
chèvre	   ***   	goat  ; caprine animal	animal
chérie	   ***   	dear  ; beloved  ; dearest  ; honey  ; love	relations
chômeur	   ***   	unemployed	adjective-people
ciel	   ***   	sky	nature
cinq	   ***   	five  ; 5  ; v	number
cinquante	   ***   	fifty  ; 50  ; l	number
cinéma	   ***   	cinema  ; movie theater  ; movie theatre  ; movie house  ; picture palace	city
cirer	   ***   	polish  ; smooth  ; smoothen  ; shine	verb
ciseaux	   ***   	scissors  ; pair of scissors	tool
citron	   ***   	lemon	fruit
clair	   ***   	bright  ; brilliant  ; vivid	adjective
clairsemé	   ***   	sparse  ; thin	adjective
clandestin	   ***   	secret  ; clandestine  ; cloak-and-dagger  ; hole-and-corner  ; hugger-mugger  ; hush-hush  ; surreptitious  ; undercover  ; underground	adjective
classe	   ***   	class  ; form  ; grade  ; course	education
classer	   ***   	classify  ; class  ; sort  ; assort  ; sort out  ; separate	verb
clef	   ***   	key	tool
cloche	   ***   	bell	tool
clou	   ***   	nail	tool
