combustible fósil	  ***  	fossil fuel	environment
comenzar ; empezar ; iniciar	  ***  	begin  ; start  ; get down  ; get  ; start out  ; set about  ; set out  ; commence	verb-basic
comer	  ***  	eat	verb-basic
comerciar	  ***  	trade  ; merchandise	verb
comercio	  ***  	trade	business
cometido ; faena ; quehacer ; tarea ; trabajo ; empleo	  ***  	job  ; task  ; chore	business
comida	  ***  	meal  ; repast	food
comienzo ; inicio ; principio ; umbral	  ***  	beginning  ; commencement  ; first  ; outset  ; get-go  ; start  ; kickoff  ; starting time  ; showtime  ; offset	time
comisión ; comité ; delegación	  ***  	committee  ; commission	business
comitiva	  ***  	company  ; companionship  ; fellowship  ; society	society
como	  ***  	equally  ; as  ; every bit	adverb
comparar	  ***  	compare	verb
compartir	  ***  	share	verb
compañero ; novio ; pareja	  ***  	boyfriend  ; fellow  ; beau  ; swain  ; young man	relations
compañía	  ***  	company	business
competencia  ; rivalidad	  ***  	competition	business
completar	  ***  	finish  ; complete	verb
completo	  ***  	complete  ; consummate	adjective
componente ; elemento ; factor	  ***  	component  ; constituent  ; element  ; factor  ; ingredient	mathematics
componente ; parte	  ***  	part  ; portion  ; component part  ; component  ; constituent	abstract
comportamiento ; conducta	  ***  	behavior  ; demeanor  ; demeanour  ; behaviour  ; conduct  ; deportment	abstract
comprender ; cubrir	  ***  	embrace  ; encompass  ; comprehend  ; cover	verb
compromiso ; cita	  ***  	date  ; appointment  ; engagement	relations
común	  ***  	common	adjective
común ; corriente ; normal	  ***  	normal	adjective
común ; habitual ; normal ; usual	  ***  	usual	adjective
común ; mutuo ; corriente ; ordinario ; general	  ***  	common  ; mutual	adjective
con	  ***  	with	preposition
con	  ***  	with	preposition
concepción ; invención	  ***  	invention  ; innovation  ; excogitation  ; conception  ; design	art
concierto	  ***  	concert	art
condición ; situación	  ***  	condition  ; status	abstract
conducir ; llevar	  ***  	lead  ; take  ; direct  ; conduct  ; guide	verb
conducir ; manejar	  ***  	drive	verb
conectar ; acoplar ; empalmar ; encadenar ; unir ; asociar ; relacionar ; estar conectado ; hacer conexión ;	  ***  	connect  ; associate  ; tie in  ; relate  ; link  ; colligate  ; link up	verb
conexión	  ***  	connection  ; connexion  ; connectedness	abstract
conexión	  ***  	connection  ; connexion  ; connector  ; connecter  ; connective	abstract
confrontación	  ***  	comparison  ; comparing	science
conjunto	  ***  	set	mathematics
conjunto ; juego	  ***  	set	abstract
conocer ; saber	  ***  	know  ; cognize  ; cognise	verb-basic
conocimiento ; saber	  ***  	knowledge  ; cognition  ; noesis	education
consciente	  ***  	conscious  ; witting	adjective
consecuencia ; efecto ; resultado ; corolario ; secuela ; conclusión	  ***  	consequence  ; effect  ; outcome  ; result  ; event  ; issue  ; upshot	science
consecuencia ; resultado ; fruto	  ***  	result  ; resultant  ; final result  ; outcome  ; termination	mathematics
conseguir ; obtener ; sacar ; tomar	  ***  	get  ; acquire	verb-basic
consejo	  ***  	council	business
conservar ; mantener	  ***  	keep  ; maintain  ; hold	verb
considerar ; creer ; confiar	  ***  	believe	verb
considerar ; ver	  ***  	see  ; consider  ; reckon  ; view  ; regard	verb
consistente ; firme ; sólido ; robusto ; estable	  ***  	firm  ; solid	adjective
constituir ; instaurar ; fundar	  ***  	establish  ; found  ; plant  ; constitute  ; institute	verb
construcción ; estructura	  ***  	structure  ; construction	city
construir ; edificar ; fabricar	  ***  	build  ; construct  ; make	verb
contaminación	  ***  	pollution	environment
contemplar  ; admirar  ; calcular  ; considerar	  ***  	look	verb-basic
contener ; incluir ; integrar	  ***  	contain  ; incorporate  ; comprise	verb
contento ; feliz ; alegre	  ***  	happy	adjective-basic
continuar ; avanzar	  ***  	continue  ; go on  ; proceed  ; go along  ; keep	verb
contra	  ***  	against	preposition
contrario	  ***  	opposite	adjective
contrario	  ***  	opposite  ; reverse  ; contrary	abstract
contrato	  ***  	contract	business
control ; mando ; poder	  ***  	control	science
controlar	  ***  	control  ; command	verb
controlar ; operar	  ***  	operate  ; control	verb
convertirse	  ***  	become  ; go  ; get	verb
copa	  ***  	cup  ; loving cup	sports
copia	  ***  	copy	business
copiar ; recrear	  ***  	copy  ; re-create	verb
corazón	  ***  	heart  ; pump  ; ticker	anatomy
corbata	  ***  	tie  ; necktie	clothes
correo	  ***  	mail  ; mail service  ; postal service  ; post	communication
correr	  ***  	run	verb-basic
